Sequence,Date of Collection,Clade
seq_5476,2021-12-01,20C
seq_5477,2021-11-30,21J (Delta)
seq_5478,2021-11-29,21J (Delta)
seq_5479,2021-12-01,21J (Delta)
seq_5480,2021-12-02,21J (Delta)
seq_5481,2021-12-02,21J (Delta)
seq_5482,2021-11-30,21J (Delta)
seq_5483,2021-12-04,21J (Delta)
seq_5484,2021-11-29,21J (Delta)
seq_5485,2021-12-03,21J (Delta)
seq_5486,2021-11-30,21J (Delta)
seq_5487,2021-12-02,21J (Delta)
seq_5488,2021-12-01,21J (Delta)
seq_5489,2021-12-02,21J (Delta)
seq_5490,2021-12-01,21J (Delta)
seq_5491,2021-12-01,21J (Delta)
seq_5492,2021-11-30,21J (Delta)
seq_5493,2021-11-28,21J (Delta)
seq_5494,2021-12-01,21J (Delta)
seq_5495,2021-12-01,21J (Delta)
seq_5496,2021-11-30,21J (Delta)
seq_5497,2021-12-03,21J (Delta)
seq_5498,2021-11-29,21J (Delta)
seq_5499,2021-12-03,21J (Delta)
seq_5500,2021-11-30,21J (Delta)
seq_5501,2021-12-01,21J (Delta)
seq_5502,2021-12-02,21J (Delta)
seq_5503,2021-11-30,21J (Delta)
seq_5504,2021-11-30,21J (Delta)
seq_5505,2021-12-02,21J (Delta)
seq_5506,2021-12-01,21J (Delta)
seq_5507,2021-12-03,21J (Delta)
seq_5508,2021-12-01,21J (Delta)
seq_5509,2021-11-30,21J (Delta)
seq_5510,2021-11-28,21J (Delta)
seq_5511,2021-11-30,21J (Delta)
seq_5512,2021-11-29,21J (Delta)
seq_5513,2021-11-29,21I (Delta)
seq_5514,2021-11-29,21J (Delta)
seq_5515,2021-11-29,21J (Delta)
seq_5516,2021-12-02,21J (Delta)
seq_5517,2021-12-01,21J (Delta)
seq_5518,2021-12-02,21J (Delta)
seq_5519,2021-12-04,21J (Delta)
seq_5520,2021-12-02,21J (Delta)
seq_5521,2021-12-03,21J (Delta)
seq_5522,2021-12-03,21J (Delta)
seq_5523,2021-11-30,21J (Delta)
seq_5524,2021-12-04,21J (Delta)
seq_5525,2021-12-03,21J (Delta)
seq_5526,2021-11-26,21J (Delta)
seq_5527,2021-11-30,21J (Delta)
seq_5528,2021-11-30,21J (Delta)
seq_5529,2021-12-01,21K (Omicron)
seq_5530,2021-12-02,21J (Delta)
seq_5531,2021-11-29,21J (Delta)
seq_5532,2021-11-30,21J (Delta)
seq_5533,2021-11-29,21J (Delta)
seq_5534,2021-12-01,21J (Delta)
seq_5535,2021-12-01,21J (Delta)
seq_5536,2021-12-01,21J (Delta)
seq_5537,2021-11-29,21J (Delta)
seq_5538,2021-12-01,21J (Delta)
seq_5539,2021-12-01,21J (Delta)
seq_5540,2021-12-05,21J (Delta)
seq_5541,2021-11-30,21J (Delta)
seq_5542,2021-12-02,21J (Delta)
seq_5543,2021-12-01,21J (Delta)
seq_5544,2021-12-02,21J (Delta)
seq_5545,2021-12-03,21J (Delta)
seq_5546,2021-12-01,21J (Delta)
seq_5547,2021-11-28,21J (Delta)
seq_5548,2021-11-30,21J (Delta)
seq_5549,2021-11-29,21J (Delta)
seq_5550,2021-12-03,21J (Delta)
seq_5551,2021-11-29,21J (Delta)
seq_5552,2021-12-02,21J (Delta)
seq_5553,2021-11-30,21J (Delta)
seq_5554,2021-12-02,21J (Delta)
seq_5555,2021-12-02,21J (Delta)
seq_5556,2021-11-29,21J (Delta)
seq_5557,2021-11-29,21J (Delta)
seq_5558,2021-12-01,21J (Delta)
seq_5559,2021-12-01,21J (Delta)
seq_5560,2021-12-01,21J (Delta)
seq_5561,2021-11-30,21J (Delta)
seq_5562,2021-11-29,21J (Delta)
seq_5563,2021-12-02,21I (Delta)
seq_5564,2021-11-30,21J (Delta)
seq_5565,2021-12-01,21J (Delta)
seq_5566,2021-12-03,21J (Delta)
seq_5567,2021-11-29,21J (Delta)
seq_5568,2021-12-01,21J (Delta)
seq_5569,2021-12-02,21J (Delta)
seq_5570,2021-12-01,21J (Delta)
seq_5571,2021-12-01,21J (Delta)
seq_5572,2021-12-01,21J (Delta)
seq_5573,2021-12-01,21J (Delta)
seq_5574,2021-12-02,21J (Delta)
seq_5575,2021-11-28,21J (Delta)
seq_5576,2021-12-03,21J (Delta)
seq_5577,2021-11-30,21J (Delta)
seq_5578,2021-12-01,21J (Delta)
seq_5579,2021-11-30,21J (Delta)
seq_5580,2021-11-30,21J (Delta)
seq_5581,2021-12-02,21J (Delta)
seq_5582,2021-12-02,21J (Delta)
seq_5583,2021-12-02,21J (Delta)
seq_5584,2021-12-02,21J (Delta)
seq_5585,2021-12-02,21J (Delta)
seq_5586,2021-12-02,21J (Delta)
seq_5587,2021-12-03,21J (Delta)
seq_5588,2021-12-02,21J (Delta)
seq_5589,2021-12-03,20C
seq_5590,2021-12-01,21J (Delta)
seq_5591,2021-12-05,21K (Omicron)
seq_5592,2021-12-01,21J (Delta)
seq_5593,2021-12-01,21J (Delta)
seq_5594,2021-11-30,21I (Delta)
seq_5595,2021-11-30,21J (Delta)
seq_5596,2021-11-30,21J (Delta)
seq_5597,2021-11-30,21J (Delta)
seq_5598,2021-11-29,21J (Delta)
seq_5599,2021-11-30,21J (Delta)
seq_5600,2021-11-26,21J (Delta)
seq_5601,2021-12-01,21J (Delta)
seq_5602,2021-12-02,21J (Delta)
seq_5603,2021-11-30,21J (Delta)
seq_5604,2021-12-02,21J (Delta)
seq_5605,2021-12-03,21J (Delta)
seq_5606,2021-12-02,21J (Delta)
seq_5607,2021-12-03,21J (Delta)
seq_5608,2021-12-01,21J (Delta)
seq_5609,2021-12-01,21J (Delta)
seq_5610,2021-12-01,21J (Delta)
seq_5611,2021-12-03,21J (Delta)
seq_5612,2021-12-01,21J (Delta)
seq_5613,2021-12-01,21J (Delta)
seq_5614,2021-12-01,21J (Delta)
seq_5615,2021-11-28,21J (Delta)
seq_5616,2021-12-02,21J (Delta)
seq_5617,2021-12-03,21K (Omicron)
seq_5618,2021-12-02,21J (Delta)
seq_5619,2021-12-03,21J (Delta)
seq_5620,2021-11-29,21J (Delta)
seq_5621,2021-12-03,21J (Delta)
seq_5622,2021-11-29,21J (Delta)
seq_5623,2021-12-03,21J (Delta)
seq_5624,2021-12-02,21J (Delta)
seq_5625,2021-12-02,21J (Delta)
seq_5626,2021-11-29,21J (Delta)
seq_5627,2021-11-30,21J (Delta)
seq_5628,2021-11-29,21J (Delta)
seq_5629,2021-12-02,21J (Delta)
seq_5630,2021-11-30,21J (Delta)
seq_5631,2021-12-03,21J (Delta)
seq_5632,2021-11-29,21J (Delta)
seq_5633,2021-12-02,21J (Delta)
seq_5634,2021-12-01,21J (Delta)
seq_5635,2021-11-30,21J (Delta)
seq_5636,2021-12-02,21J (Delta)
seq_5637,2021-11-30,21J (Delta)
seq_5638,2021-12-01,21J (Delta)
seq_5639,2021-11-29,21J (Delta)
seq_5640,2021-12-02,21J (Delta)
seq_5641,2021-12-02,21J (Delta)
seq_5642,2021-11-29,21J (Delta)
seq_5643,2021-12-02,21J (Delta)
seq_5644,2021-11-30,21J (Delta)
seq_5645,2021-12-05,21J (Delta)
seq_5646,2021-12-01,21J (Delta)
seq_5647,2021-11-30,21J (Delta)
seq_5648,2021-11-28,21J (Delta)
seq_5649,2021-12-03,21J (Delta)
seq_5650,2021-12-01,21J (Delta)
seq_5651,2021-11-28,21J (Delta)
seq_5652,2021-11-28,21J (Delta)
seq_5653,2021-11-30,21J (Delta)
seq_5654,2021-12-01,21J (Delta)
seq_5655,2021-11-29,21J (Delta)
seq_5656,2021-11-30,21J (Delta)
seq_5657,2021-11-28,21A (Delta)
seq_5658,2021-12-01,21J (Delta)
seq_5659,2021-12-01,21J (Delta)
seq_5660,2021-11-30,21J (Delta)
seq_5661,2021-12-02,21J (Delta)
seq_5662,2021-12-01,21J (Delta)
seq_5663,2021-12-01,21J (Delta)
seq_5664,2021-12-01,21J (Delta)
seq_5665,2021-12-03,21J (Delta)
seq_5666,2021-12-02,21J (Delta)
seq_5667,2021-11-30,21J (Delta)
seq_5668,2021-12-01,21J (Delta)
seq_5669,2021-12-03,21J (Delta)
seq_5670,2021-12-01,21J (Delta)
seq_5671,2021-12-01,21K (Omicron)
seq_5672,2021-11-28,21J (Delta)
seq_5673,2021-11-26,21J (Delta)
seq_5674,2021-12-02,21J (Delta)
seq_5675,2021-12-01,21J (Delta)
seq_5676,2021-12-01,21J (Delta)
seq_5677,2021-11-30,21J (Delta)
seq_5678,2021-11-30,21J (Delta)
seq_5679,2021-12-04,21J (Delta)
seq_5680,2021-11-29,21J (Delta)
seq_5681,2021-12-02,21J (Delta)
seq_5682,2021-12-02,21J (Delta)
seq_5683,2021-12-02,21J (Delta)
seq_5684,2021-12-03,21J (Delta)
seq_5685,2021-12-01,21J (Delta)
seq_5686,2021-12-01,21J (Delta)
seq_5687,2021-11-30,21J (Delta)
seq_5688,2021-12-02,21J (Delta)
seq_5689,2021-12-01,21J (Delta)
seq_5690,2021-12-02,21J (Delta)
seq_5691,2021-12-01,21J (Delta)
seq_5692,2021-11-30,21J (Delta)
seq_5693,2021-11-29,21J (Delta)
seq_5694,2021-12-03,21J (Delta)
seq_5695,2021-11-30,21J (Delta)
seq_5696,2021-12-01,21J (Delta)
seq_5697,2021-12-03,21K (Omicron)
seq_5698,2021-12-02,21J (Delta)
seq_5699,2021-12-02,21J (Delta)
seq_5700,2021-12-02,21J (Delta)
seq_5701,2021-12-02,21J (Delta)
seq_5702,2021-12-01,21K (Omicron)
seq_5703,2021-12-02,21J (Delta)
seq_5704,2021-11-29,21J (Delta)
seq_5705,2021-11-30,21J (Delta)
seq_5706,2021-12-02,21J (Delta)
seq_5707,2021-11-30,21J (Delta)
seq_5708,2021-12-01,21J (Delta)
seq_5709,2021-11-29,21J (Delta)
seq_5710,2021-12-01,21K (Omicron)
seq_5711,2021-12-01,21J (Delta)
seq_5712,2021-12-01,21J (Delta)
seq_5713,2021-12-02,21J (Delta)
seq_5714,2021-12-02,21J (Delta)
seq_5715,2021-12-01,21J (Delta)
seq_5716,2021-11-30,21J (Delta)
seq_5717,2021-12-02,21J (Delta)
seq_5718,2021-12-03,21J (Delta)
seq_5719,2021-11-30,21J (Delta)
seq_5720,2021-12-02,21J (Delta)
seq_5721,2021-11-30,21J (Delta)
seq_5722,2021-12-02,21J (Delta)
seq_5723,2021-12-04,21J (Delta)
seq_5724,2021-12-01,21J (Delta)
seq_5725,2021-11-30,21J (Delta)
seq_5726,2021-11-28,21J (Delta)
seq_5727,2021-11-30,21J (Delta)
seq_5728,2021-12-01,21J (Delta)
seq_5729,2021-12-01,21J (Delta)
seq_5730,2021-11-28,21I (Delta)
seq_5731,2021-11-28,21J (Delta)
seq_5732,2021-12-02,21J (Delta)
seq_5733,2021-11-30,21J (Delta)
seq_5734,2021-12-05,21J (Delta)
seq_5735,2021-11-29,21I (Delta)
seq_5736,2021-12-01,21J (Delta)
seq_5737,2021-12-02,21J (Delta)
seq_5738,2021-12-02,21J (Delta)
seq_5739,2021-12-02,21J (Delta)
seq_5740,2021-11-30,21J (Delta)
seq_5741,2021-12-03,21J (Delta)
seq_5742,2021-11-28,21J (Delta)
seq_5743,2021-12-02,21J (Delta)
seq_5744,2021-12-02,21J (Delta)
seq_5745,2021-11-28,21J (Delta)
seq_5746,2021-12-01,21J (Delta)
seq_5747,2021-11-28,21J (Delta)
seq_5748,2021-12-02,21K (Omicron)
seq_5749,2021-12-02,21J (Delta)
seq_5750,2021-12-01,21J (Delta)
seq_5751,2021-11-29,21J (Delta)
seq_5752,2021-11-29,21J (Delta)
seq_5753,2021-12-01,21J (Delta)
seq_5754,2021-12-02,21J (Delta)
seq_5755,2021-11-29,21J (Delta)
seq_5756,2021-12-03,21I (Delta)
seq_5757,2021-11-28,21J (Delta)
seq_5758,2021-11-29,21J (Delta)
seq_5759,2021-12-01,21J (Delta)
seq_5760,2021-11-29,21J (Delta)
seq_5761,2021-12-02,21J (Delta)
seq_5762,2021-12-01,21J (Delta)
seq_5763,2021-12-01,21J (Delta)
seq_5764,2021-12-01,21J (Delta)
seq_5765,2021-12-01,21J (Delta)
seq_5766,2021-12-03,21J (Delta)
seq_5767,2021-12-01,21J (Delta)
seq_5768,2021-12-01,21J (Delta)
seq_5769,2021-12-03,21J (Delta)
seq_5770,2021-11-30,21J (Delta)
seq_5771,2021-11-28,21J (Delta)
seq_5772,2021-12-03,21K (Omicron)
seq_5773,2021-12-01,21J (Delta)
seq_5774,2021-12-03,21J (Delta)
seq_5775,2021-11-30,21J (Delta)
seq_5776,2021-12-03,21K (Omicron)
seq_5777,2021-12-02,21J (Delta)
seq_5778,2021-12-01,21I (Delta)
seq_5779,2021-12-05,21J (Delta)
seq_5780,2021-12-01,21J (Delta)
seq_5781,2021-11-29,21J (Delta)
seq_5782,2021-11-30,21J (Delta)
seq_5783,2021-12-02,21J (Delta)
seq_5784,2021-12-01,21J (Delta)
seq_5785,2021-11-29,21J (Delta)
seq_5786,2021-11-30,21J (Delta)
seq_5787,2021-11-28,21J (Delta)
seq_5788,2021-12-01,21J (Delta)
seq_5789,2021-12-02,21J (Delta)
seq_5790,2021-12-02,21J (Delta)
seq_5791,2021-12-01,21J (Delta)
seq_5792,2021-12-02,21J (Delta)
seq_5793,2021-12-01,21J (Delta)
seq_5794,2021-11-29,21J (Delta)
seq_5795,2021-11-29,21J (Delta)
seq_5796,2021-12-01,21J (Delta)
seq_5797,2021-12-01,21J (Delta)
seq_5798,2021-12-02,21J (Delta)
seq_5799,2021-12-02,21J (Delta)
seq_5800,2021-12-01,21K (Omicron)
seq_5801,2021-12-02,21J (Delta)
seq_5802,2021-12-01,21J (Delta)
seq_5803,2021-11-30,21J (Delta)
seq_5804,2021-11-30,21J (Delta)
seq_5805,2021-11-29,21J (Delta)
seq_5806,2021-12-01,21J (Delta)
seq_5807,2021-11-28,21J (Delta)
seq_5808,2021-11-28,21J (Delta)
seq_5809,2021-12-02,21J (Delta)
seq_5810,2021-12-01,21J (Delta)
seq_5811,2021-11-29,21J (Delta)
seq_5812,2021-11-30,21J (Delta)
seq_5813,2021-11-30,21J (Delta)
seq_5814,2021-11-30,21J (Delta)
seq_5815,2021-12-01,21J (Delta)
seq_5816,2021-11-30,21J (Delta)
seq_5817,2021-12-01,21K (Omicron)
seq_5818,2021-11-29,21J (Delta)
seq_5819,2021-12-01,21J (Delta)
seq_5820,2021-11-29,21J (Delta)
seq_5821,2021-12-01,21J (Delta)
seq_5822,2021-11-30,21J (Delta)
seq_5823,2021-11-30,21J (Delta)
seq_5824,2021-11-30,21J (Delta)
seq_5825,2021-12-01,21J (Delta)
seq_5826,2021-12-01,21J (Delta)
seq_5827,2021-12-01,21J (Delta)
seq_5828,2021-12-01,21J (Delta)
seq_5829,2021-11-30,21J (Delta)
seq_5830,2021-11-30,21J (Delta)
seq_5831,2021-11-30,21J (Delta)
seq_5832,2021-12-01,21J (Delta)
seq_5833,2021-11-30,21J (Delta)
seq_5834,2021-11-30,21J (Delta)
seq_5835,2021-12-01,21J (Delta)
seq_5836,2021-11-30,21J (Delta)
seq_5837,2021-11-30,21J (Delta)
seq_5838,2021-11-30,21J (Delta)
seq_5839,2021-11-29,21J (Delta)
seq_5840,2021-12-01,21J (Delta)
seq_5841,2021-12-01,21J (Delta)
seq_5842,2021-11-29,21J (Delta)
seq_5843,2021-12-01,21J (Delta)
seq_5844,2021-11-30,21J (Delta)
seq_5845,2021-11-30,21J (Delta)
seq_5846,2021-11-30,21J (Delta)
seq_5847,2021-12-01,21J (Delta)
seq_5848,2021-11-30,21J (Delta)
seq_5849,2021-12-01,21J (Delta)
seq_5850,2021-11-29,21J (Delta)
seq_5851,2021-11-30,21J (Delta)
seq_5852,2021-11-29,21J (Delta)
seq_5853,2021-11-29,21J (Delta)
seq_5854,2021-11-29,21J (Delta)
seq_5855,2021-12-01,21J (Delta)
seq_5856,2021-12-01,21J (Delta)
seq_5857,2021-11-30,21J (Delta)
seq_5858,2021-11-30,21I (Delta)
seq_5859,2021-11-30,21J (Delta)
seq_5860,2021-12-01,21J (Delta)
seq_5861,2021-11-30,21J (Delta)
seq_5862,2021-12-01,21J (Delta)
seq_5863,2021-11-30,21J (Delta)
seq_5864,2021-12-01,21J (Delta)
seq_5865,2021-12-01,21J (Delta)
seq_5866,2021-12-01,21J (Delta)
seq_5867,2021-12-01,21J (Delta)
seq_5868,2021-11-30,21J (Delta)
seq_5869,2021-12-01,21J (Delta)
seq_5870,2021-11-30,21J (Delta)
seq_5871,2021-12-01,21J (Delta)
seq_5872,2021-12-01,21J (Delta)
seq_5873,2021-11-30,21J (Delta)
seq_5874,2021-11-30,21J (Delta)
seq_5875,2021-11-30,21J (Delta)
seq_5876,2021-11-29,21J (Delta)
seq_5877,2021-11-30,21J (Delta)
seq_5878,2021-11-30,21J (Delta)
seq_5879,2021-11-30,21J (Delta)
seq_5880,2021-12-01,21J (Delta)
seq_5881,2021-12-01,21J (Delta)
seq_5882,2021-11-30,21K (Omicron)
seq_5883,2021-12-01,21J (Delta)
seq_5884,2021-12-01,21J (Delta)
seq_5885,2021-12-01,21J (Delta)
seq_5886,2021-12-01,21J (Delta)
seq_5887,2021-12-01,21J (Delta)
seq_5888,2021-11-30,21J (Delta)
seq_5889,2021-11-30,21J (Delta)
seq_5890,2021-11-30,21J (Delta)
seq_5891,2021-12-01,21J (Delta)
seq_5892,2021-12-01,21J (Delta)
seq_5893,2021-12-01,21J (Delta)
seq_5894,2021-12-07,21J (Delta)
seq_5895,2021-12-09,21K (Omicron)
seq_5896,2021-12-07,21K (Omicron)
seq_5897,2021-12-08,21J (Delta)
seq_5898,2021-12-09,21J (Delta)
seq_5899,2021-12-09,21J (Delta)
seq_5900,2021-12-08,21J (Delta)
seq_5901,2021-12-07,21J (Delta)
seq_5902,2021-12-08,21J (Delta)
seq_5903,2021-12-09,21J (Delta)
seq_5904,2021-12-08,21J (Delta)
seq_5905,2021-12-08,21J (Delta)
seq_5906,2021-12-07,21J (Delta)
seq_5907,2021-12-07,21J (Delta)
seq_5908,2021-12-07,21J (Delta)
seq_5909,2021-12-07,21J (Delta)
seq_5910,2021-12-08,21J (Delta)
seq_5911,2021-12-10,21J (Delta)
seq_5912,2021-12-08,21J (Delta)
seq_5913,2021-12-08,21J (Delta)
seq_5914,2021-12-07,21J (Delta)
seq_5915,2021-12-08,21K (Omicron)
seq_5916,2021-12-07,20C
seq_5917,2021-12-08,21J (Delta)
seq_5918,2021-12-10,21K (Omicron)
seq_5919,2021-12-09,21J (Delta)
seq_5920,2021-12-08,21J (Delta)
seq_5921,2021-12-08,21J (Delta)
seq_5922,2021-12-08,21J (Delta)
seq_5923,2021-12-08,21J (Delta)
seq_5924,2021-12-08,21J (Delta)
seq_5925,2021-12-09,21K (Omicron)
seq_5926,2021-12-07,21I (Delta)
seq_5927,2021-12-09,21K (Omicron)
seq_5928,2021-12-09,21K (Omicron)
seq_5929,2021-12-07,21K (Omicron)
seq_5930,2021-12-08,21K (Omicron)
seq_5931,2021-12-08,21K (Omicron)
seq_5932,2021-12-09,21J (Delta)
seq_5933,2021-12-08,21J (Delta)
seq_5934,2021-12-10,21K (Omicron)
seq_5935,2021-12-08,21K (Omicron)
seq_5936,2021-12-07,21J (Delta)
seq_5937,2021-12-08,21J (Delta)
seq_5938,2021-12-08,21J (Delta)
seq_5939,2021-12-09,20C
seq_5940,2021-12-08,21J (Delta)
seq_5941,2021-12-08,21J (Delta)
seq_5942,2021-12-10,21J (Delta)
seq_5943,2021-12-08,21J (Delta)
seq_5944,2021-12-08,21J (Delta)
seq_5945,2021-12-09,21K (Omicron)
seq_5946,2021-12-08,21K (Omicron)
seq_5947,2021-12-08,21J (Delta)
seq_5948,2021-12-08,21J (Delta)
seq_5949,2021-12-09,21J (Delta)
seq_5950,2021-12-07,21J (Delta)
seq_5951,2021-12-07,21J (Delta)
seq_5952,2021-12-07,21K (Omicron)
seq_5953,2021-12-08,21J (Delta)
seq_5954,2021-12-07,21J (Delta)
seq_5955,2021-12-09,21J (Delta)
seq_5956,2021-12-09,21J (Delta)
seq_5957,2021-12-07,21J (Delta)
seq_5958,2021-12-08,21K (Omicron)
seq_5959,2021-12-07,21J (Delta)
seq_5960,2021-12-08,21J (Delta)
seq_5961,2021-12-08,21J (Delta)
seq_5962,2021-12-08,21K (Omicron)
seq_5963,2021-12-08,21J (Delta)
seq_5964,2021-12-08,21J (Delta)
seq_5965,2021-12-07,21J (Delta)
seq_5966,2021-12-08,21J (Delta)
seq_5967,2021-12-08,21K (Omicron)
seq_5968,2021-12-07,21K (Omicron)
seq_5969,2021-12-08,21J (Delta)
seq_5970,2021-12-07,21K (Omicron)
seq_5971,2021-12-09,21K (Omicron)
seq_5972,2021-12-09,21J (Delta)
seq_5973,2021-12-07,21K (Omicron)
seq_5974,2021-12-09,21K (Omicron)
seq_5975,2021-12-10,21J (Delta)
seq_5976,2021-12-07,21J (Delta)
seq_5977,2021-12-09,21J (Delta)
seq_5978,2021-12-08,21J (Delta)
seq_5979,2021-12-06,21J (Delta)
seq_5980,2021-12-08,21K (Omicron)
seq_5981,2021-12-10,21K (Omicron)
seq_5982,2021-12-08,21J (Delta)
seq_5983,2021-12-07,21J (Delta)
seq_5984,2021-12-08,21J (Delta)
seq_5985,2021-12-07,21J (Delta)
seq_5986,2021-12-07,21J (Delta)
seq_5987,2021-12-08,21K (Omicron)
seq_5988,2021-12-08,21J (Delta)
seq_5989,2021-12-08,21J (Delta)
seq_5990,2021-12-09,21J (Delta)
seq_5991,2021-12-08,21K (Omicron)
seq_5992,2021-12-08,21K (Omicron)
seq_5993,2021-12-09,21J (Delta)
seq_5994,2021-12-08,21J (Delta)
seq_5995,2021-12-08,21J (Delta)
seq_5996,2021-12-08,21J (Delta)
seq_5997,2021-12-08,21J (Delta)
seq_5998,2021-12-10,21K (Omicron)
seq_5999,2021-12-08,21J (Delta)
seq_6000,2021-12-07,21J (Delta)
seq_6001,2021-12-07,21J (Delta)
seq_6002,2021-12-07,21J (Delta)
seq_6003,2021-12-08,21J (Delta)
seq_6004,2021-12-07,21J (Delta)
seq_6005,2021-12-09,21K (Omicron)
seq_6006,2021-12-08,21J (Delta)
seq_6007,2021-12-08,21K (Omicron)
seq_6008,2021-12-10,21K (Omicron)
seq_6009,2021-12-09,21J (Delta)
seq_6010,2021-12-08,21K (Omicron)
seq_6011,2021-12-08,21K (Omicron)
seq_6012,2021-12-09,21K (Omicron)
seq_6013,2021-12-07,21J (Delta)
seq_6014,2021-12-10,21J (Delta)
seq_6015,2021-12-07,21J (Delta)
seq_6016,2021-12-07,21J (Delta)
seq_6017,2021-12-09,21K (Omicron)
seq_6018,2021-12-08,21J (Delta)
seq_6019,2021-12-07,21J (Delta)
seq_6020,2021-12-07,21J (Delta)
seq_6021,2021-12-08,21J (Delta)
seq_6022,2021-12-10,21K (Omicron)
seq_6023,2021-12-08,21J (Delta)
seq_6024,2021-12-07,21J (Delta)
seq_6025,2021-12-07,21J (Delta)
seq_6026,2021-12-07,21K (Omicron)
seq_6027,2021-12-09,21J (Delta)
seq_6028,2021-12-09,21K (Omicron)
seq_6029,2021-12-08,21J (Delta)
seq_6030,2021-12-10,21J (Delta)
seq_6031,2021-12-07,21J (Delta)
seq_6032,2021-12-08,21K (Omicron)
seq_6033,2021-12-07,21J (Delta)
seq_6034,2021-12-09,21J (Delta)
seq_6035,2021-12-08,21K (Omicron)
seq_6036,2021-12-08,21J (Delta)
seq_6037,2021-12-09,21J (Delta)
seq_6038,2021-12-09,21J (Delta)
seq_6039,2021-12-07,21K (Omicron)
seq_6040,2021-12-08,21K (Omicron)
seq_6041,2021-12-10,21K (Omicron)
seq_6042,2021-12-07,21J (Delta)
seq_6043,2021-12-10,21J (Delta)
seq_6044,2021-12-08,21J (Delta)
seq_6045,2021-12-09,21J (Delta)
seq_6046,2021-12-09,21J (Delta)
seq_6047,2021-12-09,21J (Delta)
seq_6048,2021-12-07,21J (Delta)
seq_6049,2021-12-09,21J (Delta)
seq_6050,2021-12-07,21K (Omicron)
seq_6051,2021-12-09,21K (Omicron)
seq_6052,2021-12-09,21K (Omicron)
seq_6053,2021-12-07,21J (Delta)
seq_6054,2021-12-08,21J (Delta)
seq_6055,2021-12-07,21K (Omicron)
seq_6056,2021-12-09,21J (Delta)
seq_6057,2021-12-08,21K (Omicron)
seq_6058,2021-12-09,21K (Omicron)
seq_6059,2021-12-07,21K (Omicron)
seq_6060,2021-12-07,21J (Delta)
seq_6061,2021-12-09,21K (Omicron)
seq_6062,2021-12-07,21J (Delta)
seq_6063,2021-12-07,21J (Delta)
seq_6064,2021-12-09,21J (Delta)
seq_6065,2021-12-07,21K (Omicron)
seq_6066,2021-12-08,21K (Omicron)
seq_6067,2021-12-09,21J (Delta)
seq_6068,2021-12-08,21K (Omicron)
seq_6069,2021-12-09,21K (Omicron)
seq_6070,2021-12-10,21J (Delta)
seq_6071,2021-12-09,21J (Delta)
seq_6072,2021-12-07,21J (Delta)
seq_6073,2021-12-09,21K (Omicron)
seq_6074,2021-12-08,21K (Omicron)
seq_6075,2021-12-07,21K (Omicron)
seq_6076,2021-12-07,21J (Delta)
seq_6077,2021-12-08,21J (Delta)
seq_6078,2021-12-06,21J (Delta)
seq_6079,2021-12-07,21J (Delta)
seq_6080,2021-12-09,21J (Delta)
seq_6081,2021-12-08,21J (Delta)
seq_6082,2021-12-09,21K (Omicron)
seq_6083,2021-12-09,21J (Delta)
seq_6084,2021-12-07,21K (Omicron)
seq_6085,2021-12-07,21J (Delta)
seq_6086,2021-12-07,21J (Delta)
seq_6087,2021-12-09,21J (Delta)
seq_6088,2021-12-07,21J (Delta)
seq_6089,2021-12-09,21K (Omicron)
seq_6090,2021-12-09,20C
seq_6091,2021-12-08,21J (Delta)
seq_6092,2021-12-08,21K (Omicron)
seq_6093,2021-12-08,21K (Omicron)
seq_6094,2021-12-07,21K (Omicron)
seq_6095,2021-12-08,21J (Delta)
seq_6096,2021-12-08,21J (Delta)
seq_6097,2021-12-07,21J (Delta)
seq_6098,2021-12-08,21J (Delta)
seq_6099,2021-12-09,21K (Omicron)
seq_6100,2021-12-07,21J (Delta)
seq_6101,2021-12-07,21J (Delta)
seq_6102,2021-12-09,21J (Delta)
seq_6103,2021-12-09,21K (Omicron)
seq_6104,2021-12-10,21J (Delta)
seq_6105,2021-12-07,21J (Delta)
seq_6106,2021-12-08,21J (Delta)
seq_6107,2021-12-08,21K (Omicron)
seq_6108,2021-12-07,21J (Delta)
seq_6109,2021-12-11,21K (Omicron)
seq_6110,2021-12-08,21J (Delta)
seq_6111,2021-12-07,21J (Delta)
seq_6112,2021-12-09,21A (Delta)
seq_6113,2021-12-09,21K (Omicron)
seq_6114,2021-12-09,21K (Omicron)
seq_6115,2021-12-09,21K (Omicron)
seq_6116,2021-12-08,21K (Omicron)
seq_6117,2021-12-09,21K (Omicron)
seq_6118,2021-12-08,21K (Omicron)
seq_6119,2021-12-07,21K (Omicron)
seq_6120,2021-12-09,21J (Delta)
seq_6121,2021-12-07,21I (Delta)
seq_6122,2021-12-08,21K (Omicron)
seq_6123,2021-12-09,21J (Delta)
seq_6124,2021-12-08,21J (Delta)
seq_6125,2021-12-09,21I (Delta)
seq_6126,2021-12-06,21J (Delta)
seq_6127,2021-12-07,21J (Delta)
seq_6128,2021-12-09,21J (Delta)
seq_6129,2021-12-07,21J (Delta)
seq_6130,2021-12-07,21J (Delta)
seq_6131,2021-12-09,21J (Delta)
seq_6132,2021-12-09,21K (Omicron)
seq_6133,2021-12-09,21K (Omicron)
seq_6134,2021-12-09,21J (Delta)
seq_6135,2021-12-08,21J (Delta)
seq_6136,2021-12-10,21J (Delta)
seq_6137,2021-12-07,21J (Delta)
